University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Universitas Atma Jaya Yogyakarta,Kembangan,Indonesia,Environmental Tech,Operative web-enabled open architecture,2017-10-04,2018-02-16,7402.73,IDR
University of Western Ontario,Outlook,Canada,Budget/Accounting Analyst III,Switchable grid-enabled hardware,2018-11-13,2019-04-25,383.83,CAD
Beijing University of Posts and Telecommunications,Yangwei,China,Graphic Designer,Reduced 24 hour adapter,2016-07-21,2016-08-02,8659.08,CNY
University of New York in Prague,Šilheřovice,Czech Republic,Web Developer III,Operative encompassing installation,2018-04-13,2018-06-19,4258.1,CZK
University of Novi Sad,Čačak,Serbia,Professor,Streamlined national capacity,2018-07-05,2018-09-01,7322.19,RSD
Kazan State University,Starodub,Russia,Help Desk Technician,Multi-layered local portal,2016-02-27,2016-05-18,9495.51,RUB
Colegio de San Juan de Letran,Tagnanan,Philippines,Safety Technician IV,Synergized mobile challenge,2017-03-13,2017-03-21,3068.73,PHP
Osaka International University,Yatsushiro,Japan,Senior Editor,Versatile stable task-force,2016-09-11,2016-11-29,1381.82,JPY
Ho Chi Minh City University of Social Sciences and Humanities,Phù Mỹ,Vietnam,Geologist III,Reactive asynchronous product,2016-04-28,2016-08-04,9494.97,VND
Université Julius Nyerere Kankan,Labé,Guinea,Financial Analyst,Multi-channelled incremental success,2016-04-14,2016-06-19,7971.88,GNF
Huaihua Medical College,Hekou,China,Structural Engineer,Synergized needs-based website,2017-05-15,2017-10-02,3057.34,CNY
Universidade da Beira Interior,São João do Campo,Portugal,Safety Technician I,Visionary eco-centric neural-net,2019-01-09,2019-04-01,6635.78,EUR
Taj Institute of Higher Education,Bāgh-e Maīdān,Afghanistan,VP Marketing,Reverse-engineered bi-directional open architecture,2019-10-02,2020-04-12,9731.34,AFN
Southwest University of Political Science and Law,Xindian,China,General Manager,Integrated solution-oriented synergy,2017-07-16,2017-10-24,2046.01,CNY
Wudanshan Taoist College ,Sanxi,China,Quality Control Specialist,Assimilated optimizing Graphical User Interface,2018-07-26,2018-09-22,1113.25,CNY
Wenzhou Medical College,Fushi,China,Information Systems Manager,Customizable transitional contingency,2016-03-28,2016-09-25,7525.4,CNY
Ecole Superieure Robert de Sorbon,La Ferté-Bernard,France,VP Marketing,Phased motivating middleware,2019-05-21,2019-06-19,9578.9,EUR
Harbin Medical University,Huangcun,China,Database Administrator II,Enhanced 5th generation middleware,2017-02-06,2017-03-03,3400.75,CNY
Instituto Politécnico de Lisboa,Nagoselo do Douro,Portugal,Chemical Engineer,Networked holistic Graphical User Interface,2019-06-06,2019-11-17,9587.35,EUR
Shanghai Sanda University,Rongxi,China,Legal Assistant,Programmable reciprocal application,2018-03-01,2018-08-25,8392.62,CNY
Universidad Nacional del Centro de la Provincia de Buenos Aires,Gálvez,Argentina,Community Outreach Specialist,Face to face fresh-thinking synergy,2016-10-19,2016-12-24,4162.42,ARS
Jönköping University College,Huddinge,Sweden,Analyst Programmer,Configurable fault-tolerant throughput,2016-10-22,2017-01-06,7243.74,SEK
Fundación Universitaria Manuela Beltrán,Los Córdobas,Colombia,Legal Assistant,Up-sized systemic task-force,2017-10-28,2018-01-14,5711.52,COP
Université de la Polynésie Française,Tohautu,French Polynesia,VP Marketing,Centralized intermediate attitude,2018-02-09,2018-08-04,7871.38,XPF
Arab European University,Khirbat Tīn Nūr,Syria,Graphic Designer,Universal optimal projection,2016-11-08,2017-04-01,8932.01,SYP
"Physical Education Academy ""Jedrzej Sniadecki"" in Gdansk",Prochowice,Poland,Analyst Programmer,Object-based high-level utilisation,2018-07-30,2018-10-03,1730.52,PLN
The College of The Bahamas,Abraham’s Bay,Bahamas,Senior Quality Engineer,Versatile bifurcated parallelism,2019-04-12,2019-07-05,8089.23,BSD
Beijing Language and Culture University,Qijia,China,Software Test Engineer III,Cloned multimedia artificial intelligence,2017-08-31,2018-02-07,6749.74,CNY
Universitas Putera Batam,Oekuu,Indonesia,Desktop Support Technician,Ameliorated holistic moratorium,2016-07-27,2016-10-05,6113.57,IDR
Shanghai University of Traditional Chinese Medicine and Pharmacology,Jinta,China,Nurse,Phased modular database,2016-08-25,2016-08-28,752.97,CNY
Astrakhan State University,Krasnaya Poyma,Russia,Senior Financial Analyst,Optional mission-critical collaboration,2018-07-22,2018-08-10,860.23,RUB
Assumption University of Thailand,Wachira Barami,Thailand,Civil Engineer,Multi-layered real-time pricing structure,2019-10-06,2019-11-19,4425.24,THB
Université Shalom de Bunia,Bukama,Democratic Republic of the Congo,Environmental Specialist,Grass-roots cohesive knowledge user,2016-11-12,2017-06-06,9112.31,CDF
Norwegian School of Management BI,Askim,Norway,Payment Adjustment Coordinator,Synergized encompassing customer loyalty,2017-07-19,2017-10-11,5133.23,NOK
FAAP - Fundação Armando Alvares Penteado,Formiga,Brazil,Account Executive,Enhanced actuating adapter,2018-04-29,2018-09-02,5356.3,BRL
Bugema University,Otuke,Uganda,Human Resources Manager,User-centric asymmetric instruction set,2016-02-24,2016-03-14,1573.78,UGX
University of Zambia,Namwala,Zambia,Financial Advisor,Secured bandwidth-monitored website,2019-07-12,2020-01-29,1574.02,ZMW
Universitas Sam Ratulangi,Resapombo,Indonesia,Web Developer III,Distributed context-sensitive info-mediaries,2019-11-22,2020-06-23,7007.36,IDR
Universidad de San Carlos de Guatemala,Jalpatagua,Guatemala,Quality Engineer,Centralized 4th generation parallelism,2017-04-18,2017-09-20,8646.72,GTQ
Baltic State Technical University,Shebekino,Russia,Structural Engineer,Self-enabling 5th generation definition,2017-07-06,2018-01-20,187.77,RUB
Universidad de Huánuco,Uticyacu,Peru,GIS Technical Architect,Integrated tertiary core,2019-06-08,2019-11-29,6116.55,PEN
Michael Okpara University of Agriculture,Wushishi,Nigeria,Safety Technician II,Virtual bi-directional access,2017-12-31,2018-07-27,9075.37,NGN
Universitas Siliwangi,Pasarbaru,Indonesia,Design Engineer,Face to face interactive functionalities,2017-01-22,2017-04-28,9864.06,IDR
South East European University,Желино,Macedonia,Operator,Seamless needs-based hardware,2016-04-25,2016-07-14,7077.73,MKD
University of Toronto,Stony Plain,Canada,Chemical Engineer,User-friendly 5th generation initiative,2017-08-02,2017-11-11,7853.2,CAD
Jönköping University College,Hägersten,Sweden,Pharmacist,Future-proofed bottom-line approach,2018-07-16,2018-11-28,8219.54,SEK
Universitas Jayabaya,Ciampea,Indonesia,Occupational Therapist,Realigned regional portal,2016-12-15,2017-07-20,7753.83,IDR
Politeknik Negeri Malang,Oepula,Indonesia,Assistant Manager,Configurable background moratorium,2016-09-02,2017-02-25,5926.32,IDR
University of Finance and Management in Bialystok,Książki,Poland,Operator,Mandatory radical circuit,2018-01-16,2018-06-12,9297.61,PLN
Wuxi University of Light Industry,Jingping,China,Senior Cost Accountant,Operative local orchestration,2018-06-10,2019-01-12,3380.35,CNY
Universidade Autónoma de Lisboa Luís de Camoes,Vila Chã,Portugal,Automation Specialist I,Future-proofed web-enabled installation,2019-07-23,2019-10-05,7163.41,EUR
Engineering Faculty of Asian University,Mae Sot,Thailand,Professor,Visionary needs-based internet solution,2019-02-19,2019-03-10,9313.88,THB
Umea University,Vällingby,Sweden,Quality Engineer,Distributed actuating task-force,2018-12-11,2019-03-07,9027.7,SEK
University of Kordofan,Karmah an Nuzul,Sudan,Quality Control Specialist,Integrated next generation service-desk,2016-05-05,2016-11-21,4643.31,SDG
Institute of Finance,Thị Trấn Yên Ninh,Vietnam,Financial Advisor,Grass-roots homogeneous challenge,2018-01-22,2018-07-09,5933.45,VND
Universitas Gunadarma,Banjar Tengah,Indonesia,Safety Technician II,Configurable homogeneous hub,2016-09-28,2016-12-06,7389.29,IDR
Fontys University of Applied Sciences,Zaandam,Netherlands,Research Nurse,Distributed client-driven structure,2016-03-24,2016-06-22,9289.99,EUR
Floret Global University,Vista Hermosa,Panama,Software Test Engineer III,Open-architected coherent help-desk,2017-10-22,2018-03-07,8479.11,PAB
Universidad Metropolitana de Honduras,Travesía,Honduras,Community Outreach Specialist,Stand-alone coherent utilisation,2016-04-06,2016-05-18,1873.96,HNL
Ecole Européen des Affaires,Limoges,France,Electrical Engineer,Synergized fault-tolerant archive,2018-01-26,2018-05-26,4834.47,EUR
Faculdades Integradas Toledo,Benevides,Brazil,Structural Engineer,Configurable regional capacity,2019-07-16,2019-10-06,3025.94,BRL
Universidad Motolinía del Pedegral,El Zapote,Mexico,Office Assistant II,Function-based discrete analyzer,2016-06-01,2016-08-22,2476.65,MXN
Slobomir P Univerzitet,Koran,Bosnia and Herzegovina,Budget/Accounting Analyst IV,Multi-layered content-based paradigm,2017-03-22,2017-06-04,5029.17,BAM
Technological Education Institute of Epiros,Magoúla,Greece,Teacher,Digitized optimizing utilisation,2018-09-16,2019-04-12,7112.57,EUR
Payap University Chaiang Mai,Bang Kho Laem,Thailand,Administrative Officer,Devolved content-based policy,2017-07-28,2017-08-20,2200.67,THB
Lillehammer University College,Tromsø,Norway,Administrative Officer,Virtual even-keeled migration,2019-06-12,2019-11-15,9144.98,NOK
Politeknik Negeri Bandung,Rentung,Indonesia,Software Engineer III,Pre-emptive web-enabled initiative,2018-07-04,2018-09-20,7610.18,IDR
Ashkelon Academic College,Deir Ḥannā,Israel,Health Coach IV,Multi-channelled intangible process improvement,2016-12-21,2017-06-24,8203.64,ILS
Örebro University,Söderhamn,Sweden,Account Coordinator,Multi-tiered national orchestration,2016-05-16,2016-09-27,4592.39,SEK
Prince of Songkla University,Khemarat,Thailand,Junior Executive,Ergonomic national instruction set,2017-03-05,2017-07-08,2820.98,THB
Universitas Negeri Makassar,Wiyayu Barat,Indonesia,Senior Editor,Fully-configurable static matrices,2019-11-20,2019-12-25,3595.52,IDR
Agricultural-Technical Academy in Olsztyn,Narew,Poland,Automation Specialist I,Configurable bottom-line local area network,2017-09-12,2017-10-08,473.72,PLN
Malmö University College,Västerås,Sweden,Analyst Programmer,Visionary interactive utilisation,2019-05-03,2019-10-13,2520.42,SEK
Université Paris-Dauphine (Paris IX),Chelles,France,Software Engineer III,Profound systematic ability,2016-04-01,2016-07-16,9705.98,EUR
University of Ioannina,Stýpsi,Greece,Administrative Assistant III,Monitored national standardization,2019-10-15,2019-12-03,7929.42,EUR
Université de Franche-Comté,Toulouse,France,Automation Specialist I,Intuitive tertiary benchmark,2016-06-13,2016-06-15,4617.48,EUR
Linköping University,Jönköping,Sweden,Food Chemist,Diverse object-oriented throughput,2018-01-12,2018-03-18,2153.96,SEK
Ecole Nationale Supérieure de Chimie et de Physique de Bordeaux,Besançon,France,Assistant Media Planner,User-centric eco-centric implementation,2019-08-05,2020-02-19,1563.97,EUR
Pontificia Università della Santa Croce,Messina,Italy,Chief Design Engineer,Open-architected needs-based superstructure,2019-02-27,2019-04-01,7775.71,EUR
Lund University,Ludvika,Sweden,Help Desk Technician,Fundamental multi-tasking alliance,2019-05-03,2019-09-17,1197.27,SEK
Hodeidah University,Al Mukallā,Yemen,Statistician III,Robust demand-driven circuit,2016-07-22,2016-09-01,8797.69,YER
Southwest University of Nationalities,Qiganjidie,China,Human Resources Manager,Automated intermediate knowledge user,2016-07-11,2017-02-04,1614.92,CNY
Universitas Jenderal Achmad Yani,Banyuurip,Indonesia,Account Executive,Digitized systemic workforce,2017-12-14,2018-07-21,3832.56,IDR
Henan Univeristy,Jingzi,China,Cost Accountant,Re-engineered scalable strategy,2017-08-01,2017-12-22,2867.5,CNY
Pedagogical University of Kielce,Małdyty,Poland,Marketing Manager,Cross-platform asymmetric monitoring,2017-06-15,2017-10-19,2797.44,PLN
Institucion Universitaria de Envigado,Barrancas,Colombia,Desktop Support Technician,Optional bottom-line strategy,2018-03-14,2018-08-06,5751.42,COP
Luhansk State Medical University,Bystrytsya,Ukraine,Help Desk Operator,Cross-group 5th generation project,2019-07-17,2019-12-11,7045.42,UAH
Alice-Salomon-Fachhochschule für Sozialarbeit und Sozialpädagogik Berlin,Nürnberg,Germany,Recruiting Manager,Adaptive responsive intranet,2017-02-27,2017-04-06,799.67,EUR
Université de Kinshasa,Tshela,Democratic Republic of the Congo,Accountant II,Decentralized upward-trending workforce,2019-10-16,2020-03-14,1680.37,CDF
Universidade Tecnica de Lisboa,Lameiras,Portugal,Environmental Specialist,Optional zero tolerance extranet,2019-02-27,2019-08-18,7065.87,EUR
"Moscow State University of Economics, Statistics and Informatics",Sibay,Russia,Librarian,Versatile static system engine,2018-08-08,2018-10-06,9252.29,RUB
University of Maribor,Kamnica,Slovenia,Senior Sales Associate,Visionary bottom-line budgetary management,2019-09-23,2020-03-30,3832.0,EUR
Adamson University,Umanday Centro,Philippines,Desktop Support Technician,Open-architected tangible algorithm,2017-08-30,2017-12-30,6095.29,PHP
Lagos City Polytechnic,Dutsin Ma,Nigeria,Computer Systems Analyst III,Visionary interactive focus group,2018-05-09,2018-09-14,2074.05,NGN
"Physical Education Academy ""Jedrzej Sniadecki"" in Gdansk",Kluczbork,Poland,Internal Auditor,Adaptive secondary productivity,2016-10-22,2016-12-12,5119.2,PLN
Latvian Academy of Sports Education,Ulbroka,Latvia,Senior Editor,Fully-configurable even-keeled approach,2017-01-14,2017-05-22,5255.29,EUR
Saskatchewan Indian Federated College,Hanna,Canada,Software Test Engineer IV,Open-source intermediate forecast,2017-07-15,2017-09-12,9967.73,CAD
Stockholm School of Economics,Johanneshov,Sweden,Computer Systems Analyst I,Face to face high-level conglomeration,2018-12-07,2019-06-07,5433.89,SEK
University of Zenica,Vlasenica,Bosnia and Herzegovina,Human Resources Assistant IV,User-friendly clear-thinking installation,2016-11-18,2017-04-10,6512.49,BAM
Birsk State Pedagogical Institute,Popova,Russia,Internal Auditor,Polarised discrete concept,2019-05-06,2019-07-22,6327.29,RUB
Caucasus University,Tsinandali,Georgia,Office Assistant III,Persevering non-volatile toolset,2019-06-11,2019-10-29,8007.47,GEL
Université de Provence (Aix-Marseille I),Villeurbanne,France,Desktop Support Technician,Stand-alone 24/7 concept,2017-12-25,2018-02-12,7887.91,EUR
Tianjin Medical University,Cuntan,China,Budget/Accounting Analyst I,De-engineered impactful paradigm,2016-12-06,2017-04-23,3903.3,CNY
Universidade Estadual de Feira de Santana,Itápolis,Brazil,Mechanical Systems Engineer,Integrated mission-critical project,2018-08-12,2018-10-25,7475.93,BRL
"University of Elbasan ""Aleksander Xhuvani""",Kajan,Albania,Accountant III,Synergized 5th generation capacity,2017-02-24,2017-05-21,3228.13,ALL
University of Mindanao,Bacong,Philippines,Geological Engineer,Multi-layered empowering policy,2019-07-17,2019-12-13,9490.02,PHP
Hebei University of Technology,Jianqiao,China,VP Accounting,Synergized well-modulated product,2016-04-11,2016-05-01,140.62,CNY
Universidade do Estado de Santa Catarina,Iranduba,Brazil,Legal Assistant,Diverse high-level architecture,2017-10-05,2017-12-16,8161.49,BRL
Fachhochschule Brandenburg,Lukunor,Micronesia,Help Desk Operator,Expanded clear-thinking infrastructure,2016-12-03,2017-03-24,2082.08,USD
Guangzhou Academy of Fine Art,Doumuhu,China,Biostatistician II,Sharable discrete moderator,2019-10-06,2019-11-14,404.99,CNY
Mississippi University for Women,Houston,United States,VP Sales,Enterprise-wide radical Graphic Interface,2017-12-29,2018-05-26,5487.51,USD
Universitas Katolik Indonesia Atma Jaya,Banjar Cemenggon,Indonesia,Safety Technician III,Integrated radical success,2017-08-24,2018-02-04,4349.81,IDR
University of New York in Prague,Habry,Czech Republic,Research Associate,Profit-focused leading edge instruction set,2017-07-24,2018-02-14,208.05,CZK
Institute of Accountancy Arusha,Itigi,Tanzania,Statistician III,Balanced zero administration website,2017-04-26,2017-06-30,5040.95,TZS
Northeast University at Qinhuangdao Campus,Tianzhu,China,Food Chemist,Triple-buffered incremental access,2017-03-15,2017-10-04,6413.87,CNY
"Schiller International University, Strasbourg",Béziers,France,Accountant IV,Managed attitude-oriented productivity,2017-06-14,2017-07-03,724.77,EUR
Université de Lubumbashi,Sake,Democratic Republic of the Congo,Teacher,Total logistical matrix,2017-01-06,2017-02-20,4318.49,CDF
Tianjin University,Donghuang,China,Media Manager I,Innovative dynamic forecast,2018-02-01,2018-08-03,920.3,CNY
Ecole Nationale Supérieure de Techniques Avancées,Charleville-Mézières,France,Pharmacist,Digitized needs-based info-mediaries,2016-03-08,2016-10-01,7638.54,EUR
Escuela Agricola Panamericana Zamorano,San Juan de Planes,Honduras,Software Consultant,Organic 5th generation parallelism,2019-07-30,2020-02-07,1767.42,HNL
Linköping University,Västra Frölunda,Sweden,Clinical Specialist,Multi-channelled systemic archive,2017-06-05,2017-11-26,1627.03,SEK
Université de Bamako,Gourma Rharous,Mali,Paralegal,Customer-focused demand-driven support,2019-11-11,2019-12-13,1916.68,XOF
Universidade Catolica Portuguesa,Arruda dos Vinhos,Portugal,Software Engineer I,Customizable upward-trending extranet,2019-11-04,2020-02-11,3353.64,EUR
Rizal Technological University,Pangal Sur,Philippines,Tax Accountant,Devolved dynamic orchestration,2018-06-28,2018-11-12,2638.97,PHP
Pangasinan State University,Limbaan,Philippines,Staff Scientist,Progressive object-oriented pricing structure,2019-08-24,2019-09-14,3984.1,PHP
South China Agricultural University,Anxiang,China,Environmental Tech,Multi-layered motivating migration,2016-03-14,2016-06-19,3287.37,CNY
Universitas Kristen Maranatha,Mlawat,Indonesia,Technical Writer,Multi-tiered bandwidth-monitored functionalities,2019-02-12,2019-04-15,8128.31,IDR
Universitas Wijaya Kusuma Purwokerto,Pasolapida,Indonesia,Assistant Media Planner,Profit-focused discrete methodology,2018-07-11,2018-11-16,3766.6,IDR
University of Tampere,Kalvola,Finland,Pharmacist,Customer-focused upward-trending Graphic Interface,2017-07-31,2018-03-05,972.22,EUR
Mid-Sweden University,Stockholm,Sweden,Accounting Assistant IV,Fully-configurable national leverage,2017-05-21,2017-10-11,5132.03,SEK
Hainan Normal University,Wanjiazhuang,China,Sales Representative,Horizontal 5th generation firmware,2018-02-15,2018-05-13,3712.28,CNY
Pathumthani University,Ko Samui,Thailand,Budget/Accounting Analyst II,Cloned incremental function,2019-09-23,2020-04-22,9385.47,THB
Wuhan Transportation University,Jiangyan,China,VP Sales,Decentralized non-volatile methodology,2018-10-20,2019-03-02,9342.34,CNY
University of Primorska,Bovec,Slovenia,Automation Specialist II,Open-source 24 hour encryption,2018-11-17,2019-05-28,3258.85,EUR
Chengdu University of Traditional Chinese Medicine,Bao’an,China,Information Systems Manager,Open-architected actuating groupware,2018-06-13,2019-01-08,8269.21,CNY
Ruhr-Universität Bochum,Dresden,Germany,Senior Developer,Programmable bottom-line concept,2016-07-10,2016-12-24,7615.75,EUR
Tianjin Open University,Hecun,China,Help Desk Technician,Operative fault-tolerant open system,2018-01-28,2018-02-01,8795.89,CNY
Instituto Politécnico de Lisboa,Santana,Portugal,Information Systems Manager,Visionary attitude-oriented ability,2019-06-09,2020-01-07,685.42,EUR
Kazan State Music Conservatory,Kez,Russia,Associate Professor,Devolved holistic orchestration,2017-05-20,2017-11-06,8261.45,RUB
Yamagata University,Kasaoka,Japan,Registered Nurse,Persistent bottom-line leverage,2019-11-26,2019-12-17,4433.01,JPY
Centro Universitário Plinio Leite,Umuarama,Brazil,Assistant Manager,Intuitive asynchronous Graphical User Interface,2016-03-15,2016-07-22,8588.32,BRL
Huaihai Institute of Technology,Xiangfu,China,Professor,Progressive coherent synergy,2017-02-13,2017-03-23,3373.58,CNY
Xi'an Jiaotong University,Hongyi,China,Electrical Engineer,Assimilated upward-trending array,2018-05-28,2018-10-25,5651.33,CNY
Instituto Superior de Ciências Empresariais e de Turismo,Pombal,Portugal,Financial Advisor,Function-based bottom-line interface,2016-07-12,2016-08-14,7013.82,EUR
Osaka Dental University,Tsurugi-asahimachi,Japan,Nuclear Power Engineer,Re-contextualized logistical encoding,2018-06-17,2018-12-14,7941.86,JPY
Academy of Humanities and Economics in Lodz,Libiąż,Poland,Compensation Analyst,Ameliorated full-range moratorium,2019-05-22,2019-05-28,8737.08,PLN
Université Julius Nyerere Kankan,Faranah,Guinea,Environmental Specialist,Robust background knowledge user,2019-02-15,2019-09-21,1010.04,GNF
Universidade Federal de Sergipe,Cruz das Almas,Brazil,Analog Circuit Design manager,Automated tangible throughput,2019-11-06,2019-12-28,3615.33,BRL
Universitas Gadjah Mada,Ketitang Wetan,Indonesia,Nurse,Centralized actuating service-desk,2016-12-12,2016-12-28,2388.49,IDR
"Islamic Azad University, Sanandaj",Līkak,Iran,Assistant Media Planner,User-centric encompassing array,2018-07-23,2019-01-06,1163.73,IRR
Shanghai Normal University,Liushikou,China,VP Quality Control,Operative user-facing protocol,2018-12-29,2019-05-18,6005.77,CNY
Patuakhali Science and Technology University,Shibganj,Bangladesh,Pharmacist,Business-focused scalable pricing structure,2019-02-12,2019-03-18,1233.09,BDT
Buddhist Acamedy of China,Liangting,China,Director of Sales,Balanced zero defect ability,2017-07-14,2017-10-27,6974.51,CNY
Karlstad University,Ljungsbro,Sweden,Analog Circuit Design manager,Programmable zero administration archive,2017-07-12,2018-01-27,6112.64,SEK
2nd Military Medical University,Baolong,China,Web Designer IV,Versatile coherent Graphical User Interface,2016-07-13,2017-01-21,8268.92,CNY
Guangzhou University,Bor Tungge,China,Administrative Officer,Advanced grid-enabled hierarchy,2017-03-24,2017-05-03,9585.17,CNY
Fujian University of Traditional Chinese Medicine,Liulin,China,Sales Associate,Exclusive tertiary collaboration,2019-04-02,2019-06-06,2029.03,CNY
Cecos Univeristy of Information Technology,Sinjhoro,Pakistan,VP Accounting,De-engineered eco-centric capability,2019-02-07,2019-05-29,6082.79,PKR
Obninsk State Technical University for Nuclear Power Engineering,Lesnoy,Russia,Assistant Media Planner,Open-source 4th generation protocol,2017-03-04,2017-06-16,7009.78,RUB
State Pedagogical University in Kryvyi Rih,Katyuzhanka,Ukraine,Web Designer III,Synergistic zero tolerance functionalities,2016-05-13,2016-07-02,2554.51,UAH
Technical University of Mining and Metallurgy Ostrava,Lučina,Czech Republic,Clinical Specialist,Right-sized cohesive complexity,2016-10-23,2017-05-06,5966.99,CZK
Sebatian Kolowa University College,Willemstad,Curacao,Programmer II,Fundamental mission-critical database,2018-11-10,2019-04-23,6790.85,ANG
University of Kragujevac,Smederevska Palanka,Serbia,Marketing Manager,Versatile mission-critical throughput,2019-10-21,2020-03-31,6018.33,RSD
Zhengzhou Grain University,Nanzhang Chengguanzhen,China,Legal Assistant,Adaptive mobile open system,2016-11-28,2017-01-20,7901.41,CNY
Centro Universitário Adventista de São Paulo,Guararema,Brazil,Paralegal,Decentralized executive matrices,2019-11-30,2020-03-25,1258.53,BRL
Universitas Narotama,Sadar,Indonesia,Research Assistant II,Automated web-enabled benchmark,2019-10-02,2020-01-28,7396.56,IDR
Shanghai Institue of Foreign Trade,Chenjiatan,China,Web Designer IV,Proactive methodical Graphic Interface,2017-05-16,2017-08-30,6229.54,CNY
Universitas Ahmad Dahlan,Sumberbakti,Indonesia,Account Coordinator,Cross-platform tangible portal,2017-04-07,2017-05-18,9410.23,IDR
Universidade de Pernambuco,Catalão,Brazil,Senior Cost Accountant,Synergistic impactful interface,2019-08-27,2019-10-18,2129.16,BRL
Escola Superior de Artes e Design,Coja,Portugal,Help Desk Technician,User-friendly global migration,2017-04-13,2017-10-03,7964.21,EUR
Cyryx College,Dhidhdhoo,Maldives,Sales Associate,Devolved hybrid projection,2016-09-08,2017-03-27,3485.17,MVR
Birsk State Pedagogical Institute,Yamkino,Russia,Senior Cost Accountant,Phased disintermediate orchestration,2018-11-25,2018-11-30,2196.1,RUB
Universitas Trisakti,Sulang Tengah,Indonesia,Food Chemist,De-engineered incremental leverage,2019-02-13,2019-03-05,3008.43,IDR
Universitas Tarumanagara,Karawatung,Indonesia,Director of Sales,Cross-group object-oriented ability,2019-06-16,2019-11-01,2471.39,IDR
Instituto Piaget,Seroa,Portugal,Design Engineer,Diverse multi-tasking instruction set,2016-11-30,2017-03-13,9445.18,EUR
Mindanao State University,Bolo,Philippines,Developer I,Assimilated local artificial intelligence,2018-05-08,2018-05-21,2326.85,PHP
Mongolian State University of Agriculture,Rashaant,Mongolia,Sales Representative,Intuitive 4th generation parallelism,2019-03-07,2019-05-26,571.78,MNT
Université de Fianarantsoa,Miandrivazo,Madagascar,Assistant Media Planner,Total explicit customer loyalty,2018-05-17,2018-06-03,6140.49,MGA
Centro Universitário Newton Paiva,Pontalina,Brazil,Research Associate,Ameliorated local success,2017-01-16,2017-07-18,4703.41,BRL
International University for Graduate Studies,Cotton Ground,Saint Kitts and Nevis,Financial Analyst,Future-proofed executive adapter,2019-04-06,2019-09-02,9614.94,XCD
Nizhny Novgorod State Architectural - Building University,Sernovodsk,Russia,Legal Assistant,Upgradable leading edge attitude,2018-08-01,2018-11-19,3163.1,RUB
University of Wamia and Masuria in Olsztyn,Brodnica,Poland,Marketing Assistant,Re-engineered even-keeled attitude,2016-09-17,2016-09-27,6790.31,PLN
Changsha Railway University,Sanzhou,China,Geologist I,Universal full-range toolset,2016-12-04,2017-02-25,4057.42,CNY
Universidad ICESI,Don Matías,Colombia,Cost Accountant,Fundamental national utilisation,2018-04-28,2018-08-04,715.16,COP
Universidad Pontificia Bolivariana,Mapiripán,Colombia,Dental Hygienist,Automated explicit synergy,2019-02-23,2019-07-15,7840.48,COP
Imo State University,Dikwa,Nigeria,Senior Sales Associate,Future-proofed national hub,2018-01-07,2018-01-09,8626.55,NGN
University of Sydney,Sydney,Australia,Administrative Officer,Cloned bi-directional moratorium,2016-10-21,2017-05-23,9855.39,AUD
Gomel State University Francisk Scarnia,Vidzy,Belarus,Project Manager,Synchronised asymmetric internet solution,2017-08-01,2017-08-09,748.01,BYR
Polytechnic Institute of Turin,Milano,Italy,Marketing Assistant,Horizontal human-resource data-warehouse,2019-09-28,2019-12-19,5776.86,EUR
Centre d'Etudes Supérieures des Techniques Industrielles,Sartrouville,France,Quality Engineer,Down-sized clear-thinking open system,2018-03-03,2018-06-07,8821.17,EUR
"Shoumen University ""Konstantin Preslavski""",Burgas,Bulgaria,Sales Associate,Operative content-based service-desk,2018-03-27,2018-08-14,3520.52,BGN
Wuhan University of Hydraulic and Electric Engineering,Tangzi,China,Associate Professor,User-friendly eco-centric orchestration,2017-08-19,2017-09-21,9311.79,CNY
Universidade Nova de Lisboa,Muro,Portugal,Structural Analysis Engineer,Digitized impactful open system,2017-07-01,2017-10-26,4465.46,EUR
Suranaree University of Technology,Chatuchak,Thailand,Software Engineer IV,Customizable tertiary open architecture,2018-04-22,2018-11-09,4334.75,THB
Naresuan University,Tha Maka,Thailand,Mechanical Systems Engineer,De-engineered disintermediate support,2016-12-23,2017-05-22,8900.93,THB
Kilimanjaro Christian Medical College,Tumbi,Tanzania,Accountant II,Persistent leading edge policy,2017-02-25,2017-09-26,7097.08,TZS
Ummah University,Ad Dawḩah,Palestinian Territory,Librarian,Reduced uniform frame,2019-07-24,2019-12-25,2257.93,ILS
Universidad Tecnológica de Panamá,Los Santos,Panama,Technical Writer,Total coherent encryption,2019-05-13,2019-09-02,2988.67,PAB
Tashkent State Technical University,Tashkent,Uzbekistan,Staff Accountant I,Customizable actuating alliance,2016-09-18,2017-04-16,6429.93,UZS
Universitas Kristen Maranatha,Langensari,Indonesia,Cost Accountant,Grass-roots impactful infrastructure,2019-07-11,2019-09-22,2485.02,IDR
Kazak National Technical University,Zaysan,Kazakhstan,Quality Control Specialist,Self-enabling maximized throughput,2018-01-08,2018-05-14,532.18,KZT
Dalian University,Gushi,China,Business Systems Development Analyst,Decentralized disintermediate matrices,2016-04-30,2016-08-21,7163.56,CNY
Universitas Jayabaya,Kotabaru,Indonesia,Assistant Media Planner,Compatible secondary matrix,2018-11-18,2019-05-26,8001.79,IDR
Politécnico Grancolombiano - Institución Universitaria,El Playón,Colombia,Product Engineer,Mandatory context-sensitive throughput,2018-03-01,2018-05-09,5313.4,COP
